player_id,name,position,team,status,age,exp,dc_rank,room_order,l1_fantasy_points_half,proj_std,proj_half,proj_ppr,p10_half,p90_half,pos_rank_half
00-0038996,Tucker Kraft,TE,GB,ACT,25.8,3.0,1.0,1.0,101.2,82.0,107.6,135.4,61.0,160.9,11
00-0039032,Tyjae Spears,RB,TEN,ACT,25.2,3.0,2.0,2.0,89.2,86.5,107.4,120.5,36.5,196.1,36
00-0039384,Tyrone Tracy Jr.,RB,NYG,ACT,26.8,2.0,2.0,2.0,142.8,89.7,106.9,117.3,36.0,195.6,37
00-0033090,Hunter Henry,TE,NE,ACT,31.7,10.0,1.0,1.0,148.8,81.2,105.7,131.9,59.1,159.0,12
00-0041032,Kenyon Sadiq,TE,NYJ,ACT,21.5,0.0,2.0,2.0,,83.8,105.5,123.4,58.9,158.8,13
00-0036252,Michael Pittman,WR,PIT,ACT,28.9,6.0,2.0,2.0,162.4,81.8,104.9,128.7,38.0,174.4,46
00-0034351,Dallas Goedert,TE,PHI,ACT,31.7,8.0,1.0,1.0,155.1,80.8,104.7,122.8,58.1,158.0,14
00-0034348,Courtland Sutton,WR,DEN,ACT,30.9,8.0,2.0,2.0,182.7,85.2,104.5,125.4,37.6,174.0,47
00-0039738,Blake Corum,RB,LA,ACT,25.8,2.0,2.0,2.0,118.2,95.4,103.1,105.5,32.2,191.8,38
00-0037256,Rachaad White,RB,WAS,ACT,27.6,4.0,2.0,2.0,123.0,90.8,102.7,111.4,31.8,191.4,39
00-0039894,Xavier Worthy,WR,KC,ACT,23.3,2.0,2.0,2.0,88.9,87.9,102.1,123.4,35.2,171.6,48
00-0037816,Romeo Doubs,WR,NE,ACT,26.4,4.0,2.0,2.0,137.9,80.3,101.3,119.6,34.4,170.8,49
00-0038933,Dalton Kincaid,TE,BUF,ACT,26.9,3.0,1.0,1.0,106.6,79.1,99.6,131.6,53.0,152.9,15
00-0034753,Mark Andrews,TE,BAL,ACT,31.0,8.0,1.0,1.0,107.0,73.8,99.4,126.3,52.8,152.7,16
00-0037545,Rashid Shaheed,WR,SEA,ACT,28.0,4.0,2.0,2.0,127.1,78.5,99.3,114.4,32.4,168.8,50
00-0034383,Dalton Schultz,TE,HOU,ACT,30.1,8.0,1.0,1.0,136.7,68.6,98.0,125.8,51.4,151.3,17
00-0039793,AJ Barner,TE,SEA,ACT,24.3,2.0,1.0,1.0,121.3,69.7,97.4,127.5,50.8,150.7,18
00-0039868,Troy Franklin,WR,DEN,ACT,23.6,2.0,3.0,3.0,144.6,71.9,94.5,114.5,27.6,164.0,51
00-0040583,Woody Marks,RB,HOU,ACT,25.7,1.0,2.0,2.0,133.1,81.7,94.2,105.4,23.3,182.9,40
00-0036040,Juwan Johnson,TE,NO,ACT,30.0,6.0,1.0,1.0,141.4,66.0,94.1,114.1,47.5,147.4,19
00-0031588,Stefon Diggs,WR,WAS,ACT,32.8,11.0,2.0,2.0,167.8,72.9,93.9,119.7,27.0,163.4,52
00-0038129,Cade Otton,TE,TB,ACT,27.4,4.0,1.0,1.0,92.7,65.6,93.8,119.4,47.2,147.1,20
00-0040162,Dylan Sampson,RB,CLE,ACT,22.0,1.0,2.0,2.0,71.1,77.7,92.6,106.8,21.7,181.3,41
00-0039875,Ray Davis,RB,BUF,ACT,26.8,2.0,2.0,2.0,59.1,80.8,91.6,100.3,20.7,180.3,42
00-0037809,Chig Okonkwo,TE,WAS,ACT,27.0,4.0,1.0,1.0,96.0,63.7,90.4,116.0,43.8,143.7,21
00-0039146,Jayden Reed,WR,GB,ACT,26.3,3.0,2.0,2.0,39.0,73.5,90.2,103.6,23.3,159.7,53
00-0035229,T.J. Hockenson,TE,MIN,ACT,29.2,7.0,1.0,1.0,87.3,61.5,87.1,114.8,40.5,140.4,22
00-0036139,Rico Dowdle,RB,PIT,ACT,28.2,6.0,2.0,2.0,196.8,82.2,87.1,97.9,16.2,175.8,43
00-0039880,Malik Washington,WR,MIA,ACT,25.9,2.0,1.0,1.0,93.7,65.1,87.0,102.2,20.1,156.5,54
00-0040867,Makai Lemon,WR,PHI,ACT,22.2,0.0,3.0,3.0,,67.1,86.5,99.9,19.6,156.0,55
00-0037525,Jordan Mason,RB,MIN,ACT,27.3,4.0,2.0,2.0,121.9,79.9,86.1,96.6,15.2,174.8,44
00-0033921,Chris Godwin Jr.,WR,TB,ACT,30.5,9.0,2.0,2.0,66.5,67.6,84.7,100.5,17.8,154.2,56
00-0033881,Evan Engram,TE,DEN,ACT,32.0,9.0,1.0,1.0,77.8,63.6,84.6,111.3,38.0,137.9,23
00-0041511,Omar Cooper Jr.,WR,NYJ,ACT,22.7,0.0,3.0,3.0,,65.6,84.3,98.7,17.4,153.8,57
00-0038935,Brenton Strange,TE,JAX,ACT,25.7,3.0,1.0,1.0,95.0,65.9,83.5,100.9,36.9,136.8,24
00-0037291,Jalen Nailor,WR,LV,ACT,27.5,4.0,2.0,2.0,86.2,63.6,82.3,89.0,15.4,151.8,58
00-0034960,Jakobi Meyers,WR,JAX,ACT,29.8,7.0,3.0,3.0,138.3,53.2,81.0,102.3,14.1,150.5,59
