fmt,season,ranker,draft_value,rho_QB,hit12_QB,rho_RB,hit12_RB,rho_WR,hit12_WR,rho_TE,hit12_TE,mae,rho_avg,hit12_avg
ppr,2019,ADP,0.8082862537242306,0.32260869565217387,8,0.7174171712631217,7,0.49118558801953227,4,0.4070175438596491,8,54.94571248000941,0.48455724969861924,6.75
ppr,2019,Model,0.666185260232312,-0.11130434782608695,7,0.6101878661012646,4,0.5329353192579115,5,0.2719298245614035,8,56.8864705882353,0.3259371655236232,6.0
ppr,2019,Blend 50/50,0.7041460371277134,0.05652173913043478,8,0.7101098640211275,6,0.5246062478758549,5,0.32280701754385965,8,54.00596457484813,0.40351121714281923,6.75
ppr,2020,ADP,0.7781568133331422,0.5104347826086956,9,0.5758118800273597,5,0.4868955295807303,6,0.4703817916626456,9,60.02588998873824,0.5108809959698578,7.25
ppr,2020,Model,0.7442727051445425,0.35739130434782607,8,0.5087468176310871,6,0.47254926530002206,4,0.32470384872234864,8,58.91925287356321,0.415847809000321,6.5
ppr,2020,Blend 50/50,0.7392613221460173,0.4156521739130434,9,0.5585943902692533,6,0.5235262192189447,5,0.30276439948435213,8,57.85917386840436,0.45013429572139835,7.0
ppr,2021,ADP,0.7312778239217089,0.7002442002442002,10,0.6235863591539119,8,0.45148797018579073,5,0.30782266124414,8,59.015151008352284,0.5207852977070108,7.75
ppr,2021,Model,0.7654050259429289,0.7069597069597069,9,0.6236013986013986,5,0.5335452461425182,5,0.534312362453131,8,57.083333333333336,0.5996046785391886,6.75
ppr,2021,Blend 50/50,0.7817110169697685,0.7637362637362637,9,0.6408216783216784,6,0.5268224956604102,5,0.5151087468892763,8,56.897788131725356,0.6116222961519071,7.0
ppr,2022,ADP,0.8687630090000295,0.4586466165413533,8,0.5212868892114174,8,0.5892703334563801,7,0.37499999999999994,10,53.29157463665306,0.48605095980228774,8.25
ppr,2022,Model,0.8459331300753423,0.32481203007518794,9,0.45541041767456863,7,0.6622575634848265,7,0.36428571428571427,10,58.25945205479453,0.45169143138007434,8.25
ppr,2022,Blend 50/50,0.858172583624051,0.47218045112781953,9,0.514916948879213,7,0.662196041113747,8,0.36785714285714277,10,53.811644907134756,0.5042876459944806,8.5
ppr,2023,ADP,0.6674956808228535,0.2869565217391304,7,0.4001168907071888,5,0.7245033212447645,7,0.21654135338345865,8,60.04289311207229,0.40702952176863555,6.75
ppr,2023,Model,0.5895295110289687,0.24434782608695652,6,0.5007378834240459,6,0.634288295376851,7,0.4451127819548871,9,59.790508474576264,0.45612169671068514,7.0
ppr,2023,Blend 50/50,0.6436056089035318,0.268695652173913,7,0.47586206896551736,6,0.6807997038134023,7,0.38496240601503756,8,57.30315482947614,0.4525799577419675,7.0
ppr,2024,ADP,0.6356784107946026,0.32991452991452985,7,0.5524465808997192,8,0.4838149853033537,7,0.5112781954887218,8,62.10658052654033,0.46936357290158115,7.5
ppr,2024,Model,0.7071139430284856,0.42358974358974355,10,0.6430764529163661,8,0.42912834616151074,5,0.5819548872180451,9,62.13830508474576,0.5194373574714164,8.0
ppr,2024,Blend 50/50,0.689299100449775,0.3791452991452991,9,0.6257658484328327,9,0.4768819322931867,5,0.6090225563909774,9,60.454845603738555,0.522703909065574,8.0
ppr,2025,ADP,0.6954830923272914,0.08868087270123381,7,0.6274868931793981,9,0.5284028191481562,5,0.41142273267877105,7,59.221605286524785,0.41399832942688974,7.0
ppr,2025,Model,0.6788510679510389,0.024137931034482755,7,0.5990384615384615,6,0.5222137311884156,5,0.4199008438870059,8,57.950487804878044,0.3913227419120915,6.5
ppr,2025,Blend 50/50,0.6930171572461986,0.07192118226600984,7,0.6227106227106227,8,0.5432528564174118,5,0.44068376068376064,8,56.7165399694383,0.41964210551945125,7.0
std,2019,ADP,0.7496784076514431,0.3976923076923076,8,0.7668903430907235,7,0.47803789139415226,6,0.4926470588235295,9,43.17351161135627,0.5338169002501783,7.5
std,2019,Model,0.6614589982030108,-0.09230769230769231,6,0.6305084745762712,6,0.5025527142506191,6,0.45833333333333337,10,46.778493975903615,0.3747717074631328,7.0
std,2019,Blend 50/50,0.6788888125141157,0.12153846153846154,8,0.737704918032787,7,0.5021406169039602,5,0.5245098039215687,10,43.632494967375976,0.4714734500991944,7.5
std,2020,ADP,0.6709578792444897,0.5489874110563766,9,0.6062796061444031,7,0.5492353991812449,6,0.42756285240699804,7,45.89587411202473,0.5330163171972556,7.25
std,2020,Model,0.6755484108350563,0.4772851669403394,9,0.5419363496122304,5,0.503700463651474,5,0.3675889328063242,7,45.497591623036655,0.472627728252592,6.5
std,2020,Blend 50/50,0.6985317307355364,0.5424192665571976,9,0.5850967507230558,7,0.5507654623392529,5,0.3845285149632976,8,44.66164168028659,0.5157024986457011,7.25
std,2021,ADP,0.7097274650142288,0.6536198227351299,10,0.6524025385609873,8,0.4474085749258036,6,0.4940711462450593,8,45.44808579959246,0.561875520616745,8.0
std,2021,Model,0.6822169005064651,0.6993294167036251,8,0.6392777730353036,6,0.5682978563064933,6,0.5029644268774703,8,42.9301052631579,0.6024673682307231,7.0
std,2021,Blend 50/50,0.7455453180176158,0.783798576902025,9,0.6650061553739789,7,0.5568457146885387,6,0.5563241106719368,8,43.275732250201784,0.6404936394091199,7.5
std,2022,ADP,0.6883670871768157,0.4624505928853756,8,0.5882847096802954,7,0.595837721663556,7,0.45112781954887216,8,44.12918868414821,0.5244252109445249,7.5
std,2022,Model,0.7154504307485148,0.4511575381140599,8,0.5370583717357911,6,0.6533041816382879,8,0.3744360902255639,7,45.77319526627219,0.5039890454284257,7.25
std,2022,Blend 50/50,0.6933847053562212,0.5290796160361377,9,0.5781490015360983,7,0.662049702993272,7,0.47218045112781953,8,43.504765842668625,0.5603646929233319,7.75
std,2023,ADP,0.557728830579144,0.23616600790513834,7,0.4657578281886457,5,0.5676363287250384,6,0.26373212942061697,9,48.49012080010071,0.38332307355985984,6.75
std,2023,Model,0.5688292693575498,0.20256916996047433,6,0.4986557568673291,5,0.5515552995391706,7,0.44302372444770866,8,48.20727272727272,0.4239509877036707,6.5
std,2023,Blend 50/50,0.5617618808531075,0.1926877470355731,6,0.499532437171245,6,0.5721486175115208,7,0.4415193994071391,9,46.85998447736982,0.42647205028136953,7.0
std,2024,ADP,0.678465357844556,0.34839073969508755,7,0.5362091037958309,8,0.4067397931017929,5,0.4674922600619195,8,49.26654540034249,0.4397079741636577,7.0
std,2024,Model,0.7044146092572002,0.42970073404856013,10,0.5935312418978482,7,0.34293806331750554,5,0.49226006191950467,9,49.727625,0.4646075252958546,7.75
std,2024,Blend 50/50,0.7257756217920405,0.41614906832298143,8,0.5910033704952036,9,0.40745496660680114,5,0.5479876160990712,9,48.4371389018671,0.4906487553810144,7.75
std,2025,ADP,0.627258683237576,0.09963049224270823,7,0.6576438019071054,9,0.47529811647639464,5,-0.08565531475748193,8,47.45179149443062,0.2867292739671816,7.25
std,2025,Model,0.6755437329676622,-0.00218968114819139,7,0.5971393907124539,7,0.46667984096737275,4,0.20330237358101136,9,47.7727868852459,0.31623298102816166,6.75
std,2025,Blend 50/50,0.6696767978337469,0.052545155993431854,7,0.6536680395356225,8,0.4916240862416885,4,0.10835913312693499,8,46.564677235247636,0.3265491037244195,6.75
