pos,mae_rel,rho_rel,hit12,capture,year,model,fmt,draft_value
QB,108.11666666666666,0.2774193548387097,9,0.8559995882761636,2020,prior season,half,0.25975755027678504
RB,89.45852941176472,0.018878752805534464,6,0.7243255819965617,2020,prior season,half,0.25975755027678504
WR,69.08444444444444,0.14666835764380717,3,0.8073762801189784,2020,prior season,half,0.25975755027678504
TE,50.83764705882353,-0.024293353705118412,4,0.777479515878541,2020,prior season,half,0.25975755027678504
QB,109.36387096774193,0.3979828724788332,8,0.800970150143704,2021,prior season,half,0.31117513098866467
RB,84.44869565217391,0.13248499182877693,6,0.7131276976523845,2021,prior season,half,0.31117513098866467
WR,68.35358024691357,0.19174276472509152,6,0.8119324200657216,2021,prior season,half,0.31117513098866467
TE,58.7025,0.004582951420714941,5,0.7998517420311342,2021,prior season,half,0.31117513098866467
QB,95.91187500000001,0.22434017595307917,7,0.8436103749181713,2022,prior season,half,0.33744111606201865
RB,85.10787878787879,0.2241476484089595,4,0.790026439662925,2022,prior season,half,0.33744111606201865
WR,66.84123456790124,0.4416237732201274,5,0.8094124384473261,2022,prior season,half,0.33744111606201865
TE,46.748275862068965,0.24082286277408232,5,0.9004730907409383,2022,prior season,half,0.33744111606201865
QB,132.47058823529412,0.09260391198044009,5,0.7025898158623026,2023,prior season,half,0.2199722744826221
RB,86.99523809523811,0.04803756022120592,4,0.793616134882125,2023,prior season,half,0.2199722744826221
WR,65.25794871794871,0.40286989301107584,6,0.8160846192902428,2023,prior season,half,0.2199722744826221
TE,45.970588235294116,0.14347925781044463,8,0.7516592171204118,2023,prior season,half,0.2199722744826221
QB,126.849375,0.0907089300043981,6,0.7504963600264726,2024,prior season,half,0.3360247750662077
RB,75.79500000000002,0.34137394872062227,6,0.869590592354994,2024,prior season,half,0.3360247750662077
WR,71.99317073170731,0.21598642310825794,3,0.8099785088845444,2024,prior season,half,0.3360247750662077
TE,53.883750000000006,-0.028047663166053456,5,0.7902766102763478,2024,prior season,half,0.3360247750662077
QB,81.40915572919278,0.2734604105571847,7,0.8536762951694309,2019,model,ppr,0.5095226580654683
RB,58.131145547976,0.6339077509982448,4,0.8972685098140384,2019,model,ppr,0.5095226580654683
WR,61.457312504170694,0.4074189087810397,5,0.8101549432471313,2019,model,ppr,0.5095226580654683
